trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,Básica,Básico,Elige,Elige Confort,Prémium
06301,60000,71801,Renfe,AVLO,2025-06-01 06:27:00,2025-06-01 09:25:00,0 days 02:58:00,06301_01-06-2025-06.27,55.0,,,,
03073,60000,71801,Renfe,AVE,2025-06-01 07:27:00,2025-06-01 10:46:00,0 days 03:19:00,03073_01-06-2025-07.27,,81.05,92.65,123.2,142.2
03083,60000,71801,Renfe,AVE,2025-06-01 08:27:00,2025-06-01 11:19:00,0 days 02:52:00,03083_01-06-2025-08.27,,115.8,127.4,138.6,157.6
02561,60000,71801,Renfe,AVE,2025-06-01 09:27:00,2025-06-01 12:41:00,0 days 03:14:00,02561_01-06-2025-09.27,,104.2,115.8,184.8,203.8
03113,60000,71801,Renfe,AVE,2025-06-01 11:27:00,2025-06-01 14:46:00,0 days 03:19:00,03113_01-06-2025-11.27,,115.8,127.4,138.6,157.6
02591,60000,71801,Renfe,AVE,2025-06-01 12:27:00,2025-06-01 15:44:00,0 days 03:17:00,02591_01-06-2025-12.27,,127.4,138.95,184.8,203.8
03131,60000,71801,Renfe,AVE,2025-06-01 12:57:00,2025-06-01 15:34:00,0 days 02:37:00,03131_01-06-2025-12.57,,109.35,123.05,145.45,164.45
09725,60000,71801,Renfe,AVE INT,2025-06-01 13:18:00,2025-06-01 16:22:00,0 days 03:04:00,09725_01-06-2025-13.18,,103.4,114.9,152.8,171.8
03143,60000,71801,Renfe,AVE,2025-06-01 14:27:00,2025-06-01 17:24:00,0 days 02:57:00,03143_01-06-2025-14.27,,138.95,150.55,,
06305,60000,71801,Renfe,AVLO,2025-06-01 15:27:00,2025-06-01 18:46:00,0 days 03:19:00,06305_01-06-2025-15.27,129.0,,,,
03161,60000,71801,Renfe,AVE,2025-06-01 15:57:00,2025-06-01 18:34:00,0 days 02:37:00,03161_01-06-2025-15.57,,136.7,150.35,145.45,164.45
03163,60000,71801,Renfe,AVE,2025-06-01 16:27:00,2025-06-01 19:19:00,0 days 02:52:00,03163_01-06-2025-16.27,,115.8,127.4,184.8,203.8
03171,60000,71801,Renfe,AVE,2025-06-01 16:57:00,2025-06-01 19:34:00,0 days 02:37:00,03171_01-06-2025-16.57,,136.7,150.35,163.65,182.65
06373,60000,71801,Renfe,AVLO,2025-06-01 17:27:00,2025-06-01 20:46:00,0 days 03:19:00,06373_01-06-2025-17.27,139.0,,,,
03183,60000,71801,Renfe,AVE,2025-06-01 18:27:00,2025-06-01 21:24:00,0 days 02:57:00,03183_01-06-2025-18.27,,138.95,150.55,184.8,203.8
03191,60000,71801,Renfe,AVE,2025-06-01 18:57:00,2025-06-01 21:34:00,0 days 02:37:00,03191_01-06-2025-18.57,,136.7,150.35,163.65,182.65
06309,60000,71801,Renfe,AVLO,2025-06-01 19:34:00,2025-06-01 22:55:00,0 days 03:21:00,06309_01-06-2025-19.34,139.0,,,,
03201,60000,71801,Renfe,AVE,2025-06-01 20:05:00,2025-06-01 22:42:00,0 days 02:37:00,03201_01-06-2025-20.05,,136.7,150.35,145.45,164.45
03203,60000,71801,Renfe,AVE,2025-06-01 20:27:00,2025-06-01 23:48:00,0 days 03:21:00,03203_01-06-2025-20.27,,115.8,127.4,138.6,157.6
02883,60000,71801,Renfe,AVE,2025-06-01 21:07:00,2025-06-01 23:59:00,0 days 02:52:00,02883_01-06-2025-21.07,,138.95,150.55,123.2,142.2
